"tod","state1","state2","state3","lci1","lci2","lci3","uci1","uci2","uci3","group"
152,0.231987033059938,0.544870864097246,0.223142102842816,0.123818113663465,0.430717311091468,0.130827741954517,0.382592592312299,0.625940193506917,0.342404390150814,2
153,0.231939392289292,0.544933851252082,0.223126756458626,0.123757482305583,0.430891186391005,0.130810424796498,0.382617502107436,0.626026560752349,0.342409218504743,2
154,0.231887547115721,0.545000687086601,0.223111765797679,0.123694471289134,0.43106946450495,0.130793148779495,0.382636114207714,0.626116032940573,0.342413893344829,2
155,0.2318315005566,0.54507136920892,0.22309713023448,0.123629084752696,0.431252141112387,0.130775913770544,0.382648427886131,0.626208608432916,0.342418411654565,2
156,0.231771255842688,0.545145895111308,0.223082849046005,0.123561326988623,0.431439211865151,0.130758719576839,0.382654442595169,0.62630428544326,0.342422770318909,2
157,0.231706816417984,0.545224262170154,0.223068921411863,0.123491202442648,0.431630672387341,0.130741565945863,0.382654157966915,0.626403062037901,0.342426966124809,2
158,0.23163818593959,0.545306467645942,0.223055346414468,0.123418715713474,0.431826518274804,0.130724452565522,0.382647573813205,0.626504936135394,0.342430995761745,2
159,0.231565368277564,0.545392508683216,0.223042123039222,0.123343871552348,0.432026976881986,0.130707379064282,0.382634690125802,0.62660990550644,0.342434855822287,2
160,0.231488367514768,0.545482382310528,0.223029250174704,0.123266674862625,0.432234101488766,0.130690345011329,0.382615507076613,0.626717967773743,0.342438542802673,2
161,0.231407187946719,0.545576085440402,0.223016726612879,0.12318713069931,0.432445617880999,0.130673349916727,0.382590025017922,0.626829120411914,0.342440412562355,2
162,0.231321834081421,0.545673614869268,0.223004551049312,0.123105244268596,0.432661521463778,0.130656393231586,0.382558244482666,0.626943360747371,0.342441733570148,2
163,0.231232310639204,0.545774967277404,0.222992722083393,0.123021020927376,0.432881807611749,0.130639474348247,0.382520166184742,0.627060685958224,0.342442882516857,2
164,0.231138622552554,0.545880139228873,0.222981238218573,0.122934466182752,0.43310647166844,0.13062259260046,0.382475791019335,0.627181093074226,0.342443855525744,2
165,0.231040774965937,0.545989127171445,0.222970097862619,0.122845585691521,0.433335508945583,0.130605747263591,0.382425120063285,0.627304578976665,0.342444648625428,2
166,0.230938773235616,0.546101927436522,0.222959299327863,0.122754385259651,0.433568914722404,0.130588937554821,0.382368154575484,0.627431140398334,0.342445257750564,2
167,0.230832622929468,0.546218536239052,0.22294884083148,0.12266087084174,0.433806684244887,0.130572162633359,0.382304895997299,0.627560773923456,0.342445678742543,2
168,0.230722329826789,0.546338949677442,0.222938720495769,0.122565048540465,0.434048812725027,0.130555421600668,0.38223534595303,0.627693475987653,0.342445907350201,2
169,0.2306078999181,0.546463163733462,0.222928936348438,0.122466924606009,0.434295295340056,0.130538713500697,0.38215950625039,0.627829242877913,0.342445939230553,2
170,0.230489339404938,0.546591174272146,0.222919486322916,0.122366505435486,0.434546127231636,0.130522037320116,0.382077378881028,0.627968070732569,0.342445769949538,2
171,0.230366654699652,0.546722977041687,0.222910368258662,0.122263797572337,0.43480130350505,0.130505391988568,0.381988966021068,0.628109955541287,0.342445394982781,2
172,0.230239852425184,0.546858567673329,0.222901579901488,0.122158807705723,0.435060819228357,0.130488776378928,0.381894270031682,0.628254893145071,0.342444809716371,2
173,0.230108939414846,0.546997941681253,0.222893118903902,0.122051542669898,0.435324669431532,0.130472189307564,0.381793293459696,0.62840287923627,0.342444009447657,2
174,0.229973922712096,0.547141094462457,0.222884982825448,0.121942009443573,0.43559284910558,0.130455629534615,0.381686039038221,0.628553909358605,0.342442989386055,2
175,0.229834809570297,0.547288021296635,0.222877169133069,0.121830215149255,0.435865353201638,0.130439095764272,0.381572509687309,0.6287079789072,0.342441744653882,2
176,0.229691607452479,0.54743871734605,0.222869675201472,0.121716167052589,0.436142176630046,0.130422586645073,0.381452708514645,0.628865083128625,0.342440270287184,2
177,0.229544324031088,0.547593177655403,0.22286249831351,0.121599872561669,0.436423314259402,0.130406100770195,0.381326638816258,0.629025217120957,0.342438561236609,2
178,0.229392967187731,0.547751397151698,0.222855635660572,0.121481339226342,0.436708760915605,0.130389636677772,0.38119430407727,0.629188375833846,0.342436612368265,2
179,0.229237545012912,0.547913370644105,0.222849084342985,0.121360574737502,0.436998511380859,0.130373192851206,0.381055707972661,0.629354554068593,0.342434418464619,2
180,0.229078065805758,0.548079092823816,0.222842841370427,0.121237586926364,0.437292560392681,0.130356767719492,0.380910854368065,0.629523746478236,0.342431974225394,2
181,0.228914538073746,0.548248558263904,0.222836903662351,0.121112383763721,0.437590902642869,0.130340359657555,0.380759747320599,0.629695947567662,0.34242927426849,2
182,0.228746970532411,0.548421761419172,0.222831268048418,0.120984973359201,0.437893532776464,0.130323966986588,0.380602391079708,0.629871151693717,0.342426313130915,2
183,0.228575372105055,0.548598696626003,0.222825931268943,0.12085536396049,0.43820044539069,0.130307587974407,0.38043879008804,0.630049353065331,0.342423085269734,2
184,0.228399751922439,0.548779358102208,0.222820889975354,0.120723563952562,0.43851163503387,0.130291220835804,0.380268948982346,0.630230545743654,0.342419585063033,2
185,0.228220119322477,0.548963739946868,0.222816140730656,0.120589581856875,0.438827096204333,0.130274863732918,0.380092872594409,0.630414723642213,0.342415806810892,2
186,0.22803648384991,0.549151836140178,0.222811680009912,0.12045342633057,0.4391468233493,0.13025851477561,0.379910565951987,0.630601880527071,0.342411744736383,2
187,0.227848855255982,0.549343640543286,0.222807504200733,0.120315106165646,0.439470810863744,0.130242172021842,0.379700061893187,0.630792010016997,0.342407392986568,2
188,0.227657243498097,0.549539146898131,0.222803609603773,0.120174630288126,0.439799053089247,0.130225833478073,0.379460587146945,0.630985105583667,0.342402745633526,2
189,0.227461658739472,0.54973834882728,0.222799992433248,0.120032007757203,0.440131544312832,0.130209497099659,0.379215696758745,0.631181160551847,0.342397796675382,2
