"tod","Late","Exposed","Infected","cosFull","sinFull","cosHalf","sinHalf","group","Fish_id","dwellTime1","dwellTime2","dwellTime3"
43,"0",0,0,0.98245039772551,0.186524036008735,0.930417567982025,0.366501226724297,"1","F",8.20678577509079,7.52666408976552,6.52709928292302
44,"0",0,0,0.981627183447664,0.190808995376545,0.927183854566787,0.374606593415912,"1","F",8.2045725887458,7.51585816396391,6.52656199736498
45,"0",0,0,0.98078528040323,0.195090322016128,0.923879532511287,0.38268343236509,"1","F",8.20238061270493,7.50517311004251,6.52605388353049
46,"0",0,0,0.97992470462083,0.199367934417197,0.92050485345244,0.390731128489274,"1","F",8.200209870854,7.49460859055807,6.52557494560097
47,"0",0,0,0.979045472484584,0.203641751140177,0.917060074385124,0.398749068925246,"1","F",8.19806038683168,7.48416427162374,6.52512518766275
48,"0",0,0,0.978147600733806,0.207911690817759,0.913545457642601,0.4067366430758,"1","F",8.19593218402952,7.47383982291649,6.52470461370831
49,"0",0,0,0.977231106462679,0.212177672156446,0.909961270876543,0.414693242656239,"1","F",8.19382528559299,7.46363491768147,6.52431322763573
50,"0",0,0,0.976296007119933,0.216439613938103,0.90630778703665,0.422618261740699,"1","F",8.19173971442206,7.45354923273931,6.5239510332492
51,"0",0,0,0.975342320508513,0.220697435021501,0.902585284349861,0.430511096808295,"1","F",8.18967549317244,7.44358244848991,6.5236180342597
52,"0",0,0,0.974370064785235,0.224951054343865,0.898794046299167,0.438371146789077,"1","F",8.18763264425525,7.43373424891934,6.52331423428404
53,"0",0,0,0.973379258460448,0.229200390922414,0.894934361602025,0.446197813109809,"1","F",8.1856111898378,7.42400432160457,6.52303963684699
54,"0",0,0,0.972369920397677,0.233445363855905,0.891006524188368,0.453990499739547,"1","F",8.18361115184507,7.41439235771895,6.5227942453796
55,"0",0,0,0.971342069813261,0.237685892326173,0.887010833178222,0.461748613235034,"1","F",8.18163255196009,7.40489805203742,6.52257806322041
56,"0",0,0,0.970295726275996,0.241921895599668,0.882947592858927,0.469471562785891,"1","F",8.17967541162375,7.3955211029413,6.52239109361494
57,"0",0,0,0.969230909706754,0.246153293028993,0.878817112661965,0.477158760259608,"1","F",8.1777397520359,7.38626121242373,6.52223333971642
58,"0",0,0,0.968147640378108,0.250380004054441,0.874619707139396,0.484809620246337,"1","F",8.17582559415678,7.3771180860947,6.52210480458575
59,"0",0,0,0.967045938913943,0.254601948205528,0.8703556959399,0.492423560103467,"1","F",8.17393295870647,7.3680914331851,6.52200549119084
60,"0",0,0,0.965925826289068,0.258819045102521,0.866025403784439,0.5,"1","F",8.1720618661659,7.35918096655223,6.52193540240819
61,"0",0,0,0.964787323828813,0.263031214457975,0.861629160441526,0.507538362960704,"1","F",8.17021233677769,7.35038640268453,6.52189454102131
62,"0",0,0,0.963630453208623,0.267238376078257,0.857167300702112,0.515038074910054,"1","F",8.16838439054641,7.34170746170571,6.5218829097214
63,"0",0,0,0.962455236453647,0.271440449865074,0.852640164354092,0.522498564715949,"1","F",8.16657804723945,7.3331438673797,6.52190051110779
64,"0",0,0,0.961261695938319,0.275637355816999,0.848048096156426,0.529919264233205,"1","F",8.16479332638733,7.32469534711504,6.52194734768705
65,"0",0,0,0.960049854385929,0.279829014030992,0.843391445812886,0.537299608346824,"1","F",8.1630302472845,7.3163616319689,6.52202342187366
66,"0",0,0,0.958819734868193,0.284015344703923,0.838670567945424,0.544639035015027,"1","F",8.16128882899011,7.30814245665215,6.52212873598933
67,"0",0,0,0.957571360804814,0.288196268134089,0.833885822067168,0.551936985312058,"1","F",8.15956909032775,7.30003755953339,6.52226329226346
68,"0",0,0,0.956304755963035,0.292371704722737,0.829037572555042,0.559192903470747,"1","F",8.15787104988681,7.2920466826431,6.52242709283269
69,"0",0,0,0.955019944457187,0.296541574975571,0.824126188622016,0.566406236924833,"1","F",8.15619472602293,7.28416957167747,6.52262013974064
70,"0",0,0,0.953716950748227,0.300705799504273,0.819152044288992,0.573576436351046,"1","F",8.15454013685826,7.27640597600339,6.52284243493841
71,"0",0,0,0.952395799643278,0.304864299028011,0.814115518356319,0.58070295571094,"1","F",8.1529073002821,7.26875564866191,6.52309398028365
72,"0",0,0,0.951056516295154,0.309016994374947,0.809016994374947,0.587785252292473,"1","F",8.15129623395137,7.26121834637252,6.52337477754054
73,"0",0,0,0.949699126201877,0.31316380648375,0.803856860617217,0.594822786751341,"1","F",8.14970695529109,7.25379382953679,6.5236848283796
74,"0",0,0,0.948323655206199,0.317304656405092,0.798635510047293,0.601815023152048,"1","F",8.14813948149572,7.24648186224317,6.5240241343779
75,"0",0,0,0.946930129495106,0.321439465303162,0.793353340291235,0.608761429008721,"1","F",8.14659382952823,7.23928221226993,6.52439269701813
76,"0",0,0,0.945518575599317,0.325568154457157,0.788010753606722,0.615661475325658,"1","F",8.14507001612174,7.23219465108946,6.52479051768864
77,"0",0,0,0.944089020392784,0.329690645262787,0.782608156852414,0.62251463663762,"1","F",8.14356805777925,7.22521895387285,6.52521759768297
78,"0",0,0,0.942641491092178,0.333806859233771,0.777145961456971,0.629320391049837,"1","F",8.14208797077504,7.21835489949217,6.52567393819982
79,"0",0,0,0.941176015256371,0.337916718003327,0.77162458338772,0.636078220277764,"1","F",8.14062977115418,7.21160227052542,6.52615954034218
80,"0",0,0,0.939692620785908,0.342020143325669,0.766044443118978,0.642787609686539,"1","F",8.13919347473347,7.20496085325999,6.52667440511755
81,"0",0,0,0.938191335922484,0.346117057077493,0.760405965600031,0.649448048330184,"1","F",8.13777909710211,7.19843043769674,6.52721853343724
82,"0",0,0,0.936672189248398,0.350207381259467,0.754709580222772,0.656059028990507,"1","F",8.13638665362191,7.19201081755295,6.5277919261157
83,"0",0,0,0.935135209686012,0.354291037997716,0.748955720789002,0.662620048215738,"1","F",8.13501615942778,7.18570179026642,6.52839458387075
84,"0",0,0,0.933580426497202,0.3583679495453,0.743144825477394,0.669130606358858,"1","F",8.13366762942746,7.17950315699954,6.52902650732221
85,"0",0,0,0.932007869282799,0.362438038283702,0.737277336810124,0.67559020761566,"1","F",8.13234107830385,7.17341472264206,6.5296876969926
