"tod","dstate1","dstate2","dstate3","lci1","lci2","lci3","uci1","uci2","uci3","group"
982,8.51074931030098,34.2970919564077,4.59029442159954,4.99985142707878,23.1183565529391,3.51971740622229,15.4798764181927,50.7145716780841,6.98828717825521,5
983,8.52396524567303,34.2884264453303,4.59531920246582,5.01094542076605,23.1181759353551,3.5227641783966,15.512223984614,50.688520206278,6.99927509243627,5
984,8.53720734719604,34.279450496834,4.60038545023804,5.02208308384069,23.1177883736648,3.52570603140982,15.5445737891823,50.6618834732101,7.01032678046819,5
985,8.55047540855026,34.2701642193044,4.60549322722727,5.03326439207043,23.1171936431935,3.52867710706875,15.5769248337965,50.6346626935905,7.02144231343999,5
986,8.56376922158506,34.2605677322626,4.61064259595423,5.04448931944735,23.1163915264266,3.53167744618653,15.6092761151454,50.6068591065685,7.03262176189407,5
987,8.57708857631656,34.2506611663578,4.61583361914268,5.0557578381683,23.1153818130224,3.53470708983087,15.6401044601562,50.5784739756137,7.0438651958088,5
988,8.59043326092296,34.2404446633593,4.62106635971418,5.0670699186161,23.1141642998235,3.5377660793214,15.6669214412524,50.5495085883931,7.05517268458312,5
989,8.60380306174011,34.2299183761497,4.62634088078107,5.07842552934014,23.1127387908698,3.54085445622605,15.6937678095866,50.5199642566511,7.06654429702083,5
990,8.61719776325936,34.2190824687145,4.6316572456401,5.08982463703811,23.1111050974102,3.54397226235751,15.7206428950582,50.4898423160857,7.07798010131338,5
991,8.63061714812193,34.2079371161349,4.63701551776717,5.1012672065359,23.1092630379135,3.54711953977004,15.7475460232099,50.459144126225,7.08948016502486,5
992,8.644060997118,34.1964825045766,4.64241576080963,5.11275320076924,23.1072124380814,3.55029633075638,15.7744765152493,50.4278710703021,7.10104455507427,5
993,8.65752908918148,34.1847188312811,4.64785803858035,5.12428258076394,23.1049531308582,3.55350267784391,15.801433688071,50.3960245551298,7.11267333771964,5
994,8.67102120138725,34.1726463045543,4.65334241505161,5.13585530561728,23.1024849564425,3.55673862379051,15.8284168542788,50.3636060109731,7.12436657854114,5
995,8.68453710894914,34.1602651437559,4.65886895434755,5.14747133247861,23.0998077622983,3.56000421158262,15.8554253222089,50.3306168914227,7.13612434242398,5
996,8.69807658521563,34.1475755792878,4.66443772073762,5.15913061653006,23.0904044927149,3.56329948442995,15.8824583959546,50.2970586732658,7.1479466935421,5
997,8.71163940166821,34.1345778525831,4.67004877863064,5.1708331109671,23.0779255849919,3.56662448576276,15.90951537539,50.2629328563569,7.15983369534032,5
998,8.72522532791822,34.1212722160922,4.67570219256686,5.18257876697999,23.0652632533372,3.56997925922785,15.9365955561955,50.2282409634878,7.17178541051712,5
999,8.73883413170438,34.1076589332713,4.68139802721157,5.19436753373359,23.0524179511971,3.57336384868517,15.9636982298836,50.1929845402561,7.18380190100796,5
1000,8.75246557889068,34.0937382785685,4.68713634734809,5.20619935834911,23.0393901385174,3.57677829820334,15.9908226838261,50.1571651549339,7.19588322796731,5
1001,8.76611943346416,34.0795105374107,4.69291721787044,5.21807418588406,23.0261802817033,3.58022265205628,16.0179682012803,50.1207843983349,7.20802945175088,5
1002,8.77979545753237,34.0649760061883,4.69874070377614,5.22999195931341,23.0127888535816,3.58369695471949,16.0451340614176,50.0838438836806,7.22024063189838,5
1003,8.79349341132252,34.0501349922426,4.7046068701593,5.24195261951003,22.9992163333589,3.58720125086571,16.0723195393515,50.0463452464664,7.23251682711483,5
